molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3219135,active,7.226506107729029,C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccc(Cl)cc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,681.1969999999998,5.120100000000004,2.0,9.0
CHEMBL3219347,active,7.851397345193907,C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccc(F)cc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,664.7419999999998,4.605800000000004,2.0,9.0
CHEMBL3219134,active,7.268089057883127,C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccc(OC)cc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,676.7779999999999,4.475300000000003,2.0,10.0
CHEMBL3219133,active,8.079354998593212,C=CC(=O)Nc1cccc(N2C(=O)C(Cc3ccccc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,646.752,4.466700000000004,2.0,9.0
CHEMBL3219131,active,6.7601251803469635,C=CC(=O)Nc1cccc(N2C(=O)C(c3ccccc3)N(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,632.725,4.596700000000004,2.0,9.0
CHEMBL3219127,active,8.366531544420413,C=CC(=O)Nc1cccc(N2C(=O)C3CCCCN3C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,596.6920000000002,3.778100000000003,2.0,9.0
CHEMBL3219126,active,6.0,C=CC(=O)Nc1cccc(N2C(=O)C3CCCN3C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,582.6650000000002,3.3880000000000017,2.0,9.0
CHEMBL3219125,active,7.650916831220409,C=CC(=O)Nc1cccc(N2C(=O)CN(C)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,556.6270000000002,2.8554000000000004,2.0,9.0
CHEMBL3219348,active,8.040005161671584,C=CC(=O)Nc1cccc(N2C(=O)CN(Cc3ccccc3)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,632.725,4.425800000000003,2.0,9.0
CHEMBL3219132,active,7.512296136836274,C=CC(=O)Nc1cccc(N2C(=O)CN(c3ccccc3)C(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,618.6980000000001,4.430200000000004,2.0,9.0
